code,hex,name
A01,#faf5cd,
A02,#fcfed6,
A03,#fcff92,
A04,#f7ec5c,
A05,#f0d83a,
A06,#fda951,
A07,#fa8c4f,
A08,#fbda4d,
A09,#f79d5f,
A10,#f47e38,
A11,#fedb99,
A12,#fda276,
A13,#fec667,
A14,#f75842,
A15,#fbf65e,
A16,#feff97,
A17,#fde173,
A18,#fcbf80,
A19,#fd7e77,
A20,#f9d666,
A21,#fae393,
A22,#edf878,
A23,#e4c8ba,
A24,#f3f6a9,
A25,#fdf785,
A26,#ffc734,
B01,#dff13b,
B02,#64f343,
B03,#a1f586,
B04,#5fdf34,
B05,#39e158,
B06,#64e0a4,
B07,#3eae7c,
B08,#1d9b54,
B09,#2a5037,
B10,#9ad1ba,
B11,#627032,
B12,#1a6e3d,
B13,#c8e87d,
B14,#abe84f,
B15,#305335,
B16,#c0ed9c,
B17,#9eb33e,
B18,#e6ed4f,
B19,#26b78e,
B20,#cbeccf,
B21,#18616a,
B22,#0a4241,
B23,#343b1a,
B24,#e8faa6,
B25,#4e846d,
B26,#907c35,
B27,#d0e0af,
B28,#9ee5bb,
B29,#c6df5f,
B30,#e3fbb1,
B31,#b4e691,
B32,#92ad60,
C01,#f0fee4,
C02,#abf8fe,
C03,#a2e0f7,
C04,#44cdfb,
C05,#06aadf,
C06,#54a7e9,
C07,#3977ca,
C08,#0f52bd,
C09,#3349c3,
C10,#3cbce3,
C11,#2aded3,
C12,#1e334e,
C13,#cde7fe,
C14,#d5fcf7,
C15,#21c5c4,
C16,#1858a2,
C17,#02d1f3,
C18,#213244,
C19,#18869d,
C20,#1a70a9,
C21,#bcddfc,
C22,#6bb1bb,
C23,#c8e2fd,
C24,#7ec5f9,
C25,#a9e8e0,
C26,#42adcf,
C27,#d0def9,
C28,#bdcee8,
C29,#364a89,
D01,#acb7ef,
D02,#868dd3,
D03,#3554af,
D04,#162d7b,
D05,#b34ec6,
D06,#b37bdc,
D07,#8758a9,
D08,#e3d2fe,
D09,#d5b9f4,
D10,#301a49,
D11,#beb9e2,
D12,#dc99ce,
D13,#b5038d,
D14,#862993,
D15,#2f1f8c,
D16,#e2e4f0,
D17,#c7d3f9,
D18,#9a64b8,
D19,#d8c2d9,
D20,#9a35ad,
D21,#940595,
D22,#38389a,
D23,#eadbf8,
D24,#768ae1,
D25,#4950c2,
D26,#d6c6eb,
E01,#f6d4cb,
E02,#fcc1dd,
E03,#f6bde8,
E04,#e8649e,
E05,#f0569f,
E06,#eb4172,
E07,#c53674,
E08,#fddbe9,
E09,#e376c7,
E10,#d13b95,
E11,#f7dad4,
E12,#f693bf,
E13,#b5026a,
E14,#fad4bf,
E15,#f5c9ca,
E16,#fbf4ec,
E17,#f7e3ec,
E18,#f9c8db,
E19,#f6bbd1,
E20,#d7c6ce,
E21,#c09da4,
E22,#b38c9f,
E23,#937d8a,
E24,#debee5,
F01,#fe9381,
F02,#f63d4b,
F03,#ee4e3e,
F04,#fb2a40,
F05,#e10328,
F06,#913635,
F07,#911932,
F08,#bb0126,
F09,#e0677a,
F10,#874628,
F11,#592323,
F12,#f3536b,
F13,#f45c45,
F14,#fcadb2,
F15,#d50527,
F16,#f8c0a9,
F17,#e89b7d,
F18,#d07f4a,
F19,#be454a,
F20,#c69495,
F21,#f2b8c6,
F22,#f7c3d0,
F23,#ed806c,
F24,#e09daf,
F25,#e84854,
G01,#ffe4d3,
G02,#fcc6ac,
G03,#f1c4a5,
G04,#dcb387,
G05,#e7b34e,
G06,#e3a014,
G07,#985c3a,
G08,#713d2f,
G09,#e4b685,
G10,#da8c42,
G11,#dac898,
G12,#fec993,
G13,#b2714b,
G14,#8b684c,
G15,#f6f8e3,
G16,#f2d8c1,
G17,#77544e,
G18,#ffe3d5,
G19,#dd7d41,
G20,#a5452f,
G21,#b38561,
H01,#ffffff,
H02,#fbfbfb,
H03,#b4b4b4,
H04,#878787,
H05,#464648,
H06,#2c2c2c,
H07,#010101,
H08,#e7d6dc,
H09,#efedee,
H10,#ebebeb,
H11,#cdcdcd,
H12,#fdf6ee,
H13,#f4edf1,
H14,#ced7d4,
H15,#9aa6a6,
H16,#1b1213,
H17,#f0eeef,
H18,#fcfff6,
H19,#f2eee5,
H20,#96a09f,
H21,#f8fbe6,
H22,#cacad2,
H23,#9b9c94,
M01,#bbc6b6,
M02,#909994,
M03,#697e81,
M04,#e0d4bc,
M05,#d1ccaf,
M06,#b0aa86,
M07,#b0a796,
M08,#ae8082,
M09,#a68862,
M10,#c4b3bb,
M11,#9d7693,
M12,#644b51,
M13,#c79266,
M14,#c27563,
M15,#747d7a,
